"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"6565E5A80D75438EA31AD184B8AFA194","D03","OSBS","OSBS_023","F9","emergentHerbaceousWetlands",29.72318483,-81.98431008,"WGS84",,32,,"2013-07-13","MAM.OSBS.2013.07","NEON.MAM.D03.0L2176","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"subadult","nonscrotal",,,,30,,,,123,"OSBS.20130713.L2176.B","retroorbital","OSBS.20130713.L2176.F","fresh","OSBS.20130713.L2176.E","OSBS.20130713.L2176.H","OSBS.20130713.L2176.H",,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0
"40B5DFDBDADA4D0DAAEB67F436595CE8","D03","OSBS","OSBS_023","F2","emergentHerbaceousWetlands",29.72381648,-81.98431624,"WGS84",,32,,"2013-07-13","MAM.OSBS.2013.07","NEON.MAM.D03.0L2139","SIHI","Sigmodon hispidus","species",," ",,"N","N",,,,,,"not",,30,,,,,,,,,"OSBS.20130713.L2139.E",,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","possible escape",0,0,0,-1,0
"23190D78B5154873BBB6B38A2BEE5440","D03","OSBS","OSBS_023","F3","emergentHerbaceousWetlands",29.72372625,-81.98431536,"WGS84",,32,,"2013-07-13","MAM.OSBS.2013.07","NEON.MAM.D03.0L2189","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,31,,,,183,"OSBS.20130713.L2189.B","retroorbital","OSBS.20130713.L2189.F","fresh","OSBS.20130713.L2189.E","OSBS.20130713.L2189.H","OSBS.20130713.L2189.H",,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0
"C47DFFD829F044CABB73AEE7B44CE497","D03","OSBS","OSBS_005","B2","woodyWetlands",29.69541405,-82.02636247,"WGS84",,37.65763691,,"2013-09-11","MAM.OSBS.2013.09","NEON.MAM.D03.0L2026","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",30,,,,90,"OSBS.20130911.L2026.B","retroorbital","OSBS.20130911.L2026.F","old","OSBS.20130911.L2026.E","OSBS.20130911.L2026.H","OSBS.20130911.L2026.H",,"J32yyfIpEw10V134pg+cYBs1wYtGesxg","MPTIP7pKlEeFtUk9POgRXaprSs7c1yJc",,0,0,0,-1,0
"09C0378EF77F4699819FD6A7FD196106","D03","OSBS","OSBS_005","J3","woodyWetlands",29.69533022,-82.02553473,"WGS84",,37.16588832,,"2013-09-12","MAM.OSBS.2013.09","NEON.MAM.D03.0R2021","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",31,,,,128,"OSBS.20130912.R2021.B","retroorbital","OSBS.20130912.R2021.F","fresh","OSBS.20130912.R2021.E","OSBS.20130912.R2021.H","OSBS.20130912.R2021.H",,"YSMY4NeqPCXVzAe9ZwztPCiuwP7psxY1","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","in hand too long- released ",0,0,0,-1,0
"692C592C82AA4D30AAA1DC195D4C1AB2","D03","OSBS","OSBS_005","F7","woodyWetlands",29.69496607,-82.02594448,"WGS84",,37.08800964,,"2013-09-12","MAM.OSBS.2013.09",,"GLVO","Glaucomys volans","species",," ","M","R","N","nontarget",,"adult","scrotal",,,,,,,,,,,,,,,,,"YSMY4NeqPCXVzAe9ZwztPCiuwP7psxY1","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72",,-1,-1,-1,-1,-1
"BEA685C7529047E180B7991784F440DA","D03","OSBS","OSBS_005","J2","woodyWetlands",29.69542045,-82.02553565,"WGS84",,37.23732625,,"2013-09-12","MAM.OSBS.2013.09","NEON.MAM.D03.0R2014","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"adult","nonscrotal",,,,,,,,,"OSBS.20130912.R2014.B","retroorbital","OSBS.20130912.R2014.F","fresh","OSBS.20130912.R2014.E","OSBS.20130912.R2014.H","OSBS.20130912.R2014.H",,"YSMY4NeqPCXVzAe9ZwztPCiuwP7psxY1","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","in hand too long - released",0,0,0,-1,0
"E9D3CB3227A44AE4962BDF2C315CEF6E","D03","OSBS","OSBS_005","J2","woodyWetlands",29.69542045,-82.02553565,"WGS84",,37.23732625,,"2013-09-12","MAM.OSBS.2013.09","NEON.MAM.D03.0R2014","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"adult","nonscrotal",,,,,,,,,"OSBS.20130912.R2014.B","retroorbital","OSBS.20130912.R2014.F","fresh","OSBS.20130912.R2014.E","OSBS.20130912.R2014.H","OSBS.20130912.R2014.H",,"YSMY4NeqPCXVzAe9ZwztPCiuwP7psxY1","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","In hand too long- released",0,0,0,-1,0
"0B8AC6B59AE44C2E9246F9B725197470","D03","OSBS","OSBS_005","J3","woodyWetlands",29.69533022,-82.02553473,"WGS84",,37.16588832,,"2013-09-12","MAM.OSBS.2013.09","NEON.MAM.D03.0R2021","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",31,,,,128,"OSBS.20130912.R2021.B","retroorbital","OSBS.20130912.R2021.F","fresh","OSBS.20130912.R2021.E","OSBS.20130912.R2021.H","OSBS.20130912.R2021.H",,"YSMY4NeqPCXVzAe9ZwztPCiuwP7psxY1","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","In hand too long- released",0,0,0,-1,0
"F3415FB196D647AEA3D5E087D1879F82","D03","OSBS","OSBS_005","I1","woodyWetlands",29.69550989,-82.02563992,"WGS84",,37.36185702,,"2013-09-13","MAM.OSBS.2013.09",,"PESP","Peromyscus sp.","genus","cf. species"," ",,"N","Y","escaped",,,,,"not",,,,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,-1,-1,-1,-1,-1
"4161A4CB50AD4C4FB48279C66DD4B0F9","D03","OSBS","OSBS_005","G2","woodyWetlands",29.69541805,-82.02584571,"WGS84",,37.39557953,,"2013-09-13","MAM.OSBS.2013.09","NEON.MAM.D03.0R2021","SIHI","Sigmodon hispidus","species",," ","F","N","Y","escaped",,"adult",,"nonenlarged","not","neither",24,,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0
