"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"6932F39A1CEA437CB07ECB922CD76C55","D03","DSNY","DSNY_004","D7","woodyWetlands",28.0993,-81.401576,"WGS84",,16.92517038,,"2013-07-16","MAM.DSNY.2013.07",,"SIHI","Sigmodon hispidus","species",," ","M","N","N","escaped",,"subadult","nonscrotal",,,,,,,,,,,,,,,,,"F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,-1,-1,-1,-1,-1
"CA00C64B4A504EB1BD337C3E759DB4F6","D03","DSNY","DSNY_004","J3","woodyWetlands",28.099663,-81.400966,"WGS84",,16.76953327,,"2013-07-16","MAM.DSNY.2013.07","NEON.MAM.D03.0L2172","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",23,,101,,140,"DSNY.20130716.L2172.B","retroorbital",,,"DSNY.20130716.L2172.E","DSNY.20130716.L2172.H","DSNY.20130716.L2172.H",,"F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"AD78ECE7FDD94E36A03DCF95BEC12456","D03","DSNY","DSNY_004","I7","woodyWetlands",28.099302,-81.401067,"WGS84",,16.81619752,,"2013-07-16","MAM.DSNY.2013.07","NEON.MAM.D03.0R2124","SIHI","Sigmodon hispidus","species",," ","F","R","N",,,"adult",,"enlarged","pregnant","swollen",31,,,110,193,"DSNY.20130716.R2124.B","retroorbital",,,"DSNY.20130716.R2124.E","DSNY.20130716.R2124.H","DSNY.20130716.R2124.H",,"F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"01BE350F19FB4819921C2E9469005C3B","D03","DSNY","DSNY_004","G4","woodyWetlands",28.099572,-81.401271,"WGS84",,16.84113438,,"2013-07-17","MAM.DSNY.2013.07","NEON.MAM.D03.0R2180","SIHI","Sigmodon hispidus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",26,,85,130,190,,,,,,,,,"F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","weighed with ruler / rat held ruler in mouth",0,0,0,-1,0
"A706093DC7074B36B8CB77569642BFE5","D03","DSNY","DSNY_004","J2","woodyWetlands",28.099753,-81.400967,"WGS84",,16.76331586,,"2013-07-17","MAM.DSNY.2013.07",,"SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",,,,,,,,,,,,,,"F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,-1,-1,-1,-1,-1
"2F1EB76BED7A4779A144960EFBB607CB","D03","DSNY","DSNY_004","J5","woodyWetlands",28.099483,-81.400966,"WGS84",,16.78196809,,"2013-07-17","MAM.DSNY.2013.07",,"SIHI","Sigmodon hispidus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",,,,,,,,,,,,,,"F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,-1,-1,-1,-1,-1
"22AE640945814318B4E5B955478E5858","D03","DSNY","DSNY_004","C2","woodyWetlands",28.099751,-81.401679,"WGS84",,16.91587779,,"2013-07-18","MAM.DSNY.2013.07","NEON.MAM.D03.0L2156","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"adult",,,,,30,,110,,153,,,,,,,,,"wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"9B3A951E2F954F869D2BF88803790A98","D03","DSNY","DSNY_004","J9","woodyWetlands",28.099122,-81.400964,"WGS84",,16.80683781,,"2013-07-18","MAM.DSNY.2013.07","NEON.MAM.D03.0L2172","SIHI","Sigmodon hispidus","species",," ","F","R","Y",,,"adult",,"enlarged","not",,,,,,,,,,,,,,,"wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"617E9F497C734F5EB802AA794B5F2A83","D03","DSNY","DSNY_004","H6","woodyWetlands",28.099392,-81.401169,"WGS84",,16.83177466,,"2013-07-18","MAM.DSNY.2013.07","NEON.MAM.D03.0L2124","SIHI","Sigmodon hispidus","species",," ","F","R","Y",,,"adult",,"enlarged","not","neither",,,,,,,,,,,,,,"wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","Recently gave birth",0,0,0,-1,0
"6D289512BC194EAAB5D5FC1B6F1ED755","D03","DSNY","DSNY_005","I10","woodyWetlands",28.038677,-81.391493,"WGS84",,15,,"2013-07-31","MAM.DSNY.2013.08","NEON.MAM.D03.0R2256","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,35,,,,143,"DSNY.20130731.R2256.B","retroorbital","DSNY.20130731.R2256.F","fresh","DSNY.20130731.R2256.E","DSNY.20130731.R2256.H","DSNY.20130731.R2256.H",,"wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"08488DE6ABA8420CB6FF2708CB7E0C57","D03","DSNY","DSNY_005","E9","woodyWetlands",28.038766,-81.391901,"WGS84",,15,,"2013-07-31","MAM.DSNY.2013.08",,"SIHI","Sigmodon hispidus","species",," ",,"N","N","escaped",,,,,"not",,,,,,,,,,,,,,,"wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,-1,-1,-1,-1,-1
"B8DC0CE8B3B1494BBDA95B44BCD009DF","D03","DSNY","DSNY_005","E10","woodyWetlands",28.038676,-81.3919,"WGS84",,15,,"2013-08-01","MAM.DSNY.2013.08","NEON.MAM.D03.0R2269","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",30,,,,273,"DSNY.20130801.R2269.B","retroorbital","DSNY.20130801.R2269.F","old","DSNY.20130801.R2269.E","DSNY.20130801.R2269.H","DSNY.20130801.R2269.H",,"wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"9288F491FE374450A9135D42E75938C3","D03","DSNY","DSNY_004","C1","woodyWetlands",28.099842,-81.40168,"WGS84",,16.90966038,,"2013-09-04","MAM.DSNY.2013.09","NEON.MAM.D03.0R2224","SIHI","Sigmodon hispidus","species",," ","F","R","N",,,"adult",,"nonenlarged","pregnant","swollen",31,,,,,,,,,,"DSNY.20130904.R2224.H",,,"/ZTkHtt5uI+ycxDttseECyni2XWVmPDK","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","Tried putting down 3 times, wouldn't go out, huge pregnant female, escaped",0,0,0,-1,0
"CD21B701C43A410781DD7DACFA257385","D03","DSNY","DSNY_005","D9","woodyWetlands",28.038766,-81.392002,"WGS84",,15,,"2013-09-25","MAM.DSNY.2013.10","NEON.MAM.D03.0R2010","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",,,,,,"DSNY.20130925.R2010.B","retroorbital","DSNY.20130925.R2010.F","old","DSNY.20130925.R2010.E",,"DSNY.20130925.R2010.H",,"SZd6jJU+PWukgvziuyetpzviWNuM2FzT","/ZTkHtt5uI+ycxDttseECyni2XWVmPDK",,0,0,0,-1,0
"029E0840A83349318828C5B525FE3109","D03","DSNY","DSNY_005","G9","woodyWetlands",28.038766,-81.391697,"WGS84",,15,,"2013-09-25","MAM.DSNY.2013.10","NEON.MAM.D03.0R2098","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,31,,,,153,"DSNY.20130925.R2098.B","retroorbital","DSNY.20130925.R2098.F","old","DSNY.20130925.R2098.E","DSNY.20130925.R2098.H","DSNY.20130925.R2098.H",,"SZd6jJU+PWukgvziuyetpzviWNuM2FzT","/ZTkHtt5uI+ycxDttseECyni2XWVmPDK",,0,0,0,-1,0
"5C08A10E97684208A39E32B9E349CB50","D03","DSNY","DSNY_005","G8","woodyWetlands",28.038857,-81.391698,"WGS84",,15,,"2013-09-25","MAM.DSNY.2013.10","NEON.MAM.D03.0R2114","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,30,,,,170,"DSNY.20130925.R2114.B","retroorbital","DSNY.20130925.R2114.F","old","DSNY.20130925.R2114.E","DSNY.20130925.R2114.H","DSNY.20130925.R2114.H",,"SZd6jJU+PWukgvziuyetpzviWNuM2FzT","/ZTkHtt5uI+ycxDttseECyni2XWVmPDK",,0,0,0,-1,0
"3CCFD2DBF0BB4B1E89AA4B83DD0C5A6E","D03","DSNY","DSNY_005","B9","woodyWetlands",28.038765,-81.392206,"WGS84",,15,,"2013-09-26","MAM.DSNY.2013.10","NEON.MAM.D03.0L2053","SIHI","Sigmodon hispidus","species",," ","F","N","Y",,"Left","adult",,"nonenlarged","not","neither",30,,,,173,"DSNY.20130926.L2053.B","retroorbital","DSNY.20130926.L2053.F","old",,"DSNY.20130926.L2053.H","DSNY.20130926.L2053.H",,"wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh","6FdE+Uj2Abmhd01pjo/8FTX0RV9Yr0Uu",,0,0,0,-1,0
