"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"95C0CE17137B423F99640BFD6879205E","D03","JERC","JERC_005","J9","2014-05-20","MAM.JERC.2014.06",1,0
"920545C96E4A44C0A937923DDB2CEEBF","D03","JERC","JERC_005","J4","2014-05-20","MAM.JERC.2014.06",1,0
"3E9368A7C07E4F9DBD6B2CDC9FD23789","D03","JERC","JERC_005","J5","2014-05-20","MAM.JERC.2014.06",1,0
"BC9200CABEB84306ABEBC5FB73154BFE","D03","JERC","JERC_005","J6","2014-05-20","MAM.JERC.2014.06",1,0
"811AC8519E8949E29CDFE2A28D9F50A0","D03","JERC","JERC_005","J7","2014-05-20","MAM.JERC.2014.06",1,0
"4F629D8EFA624FD2A37551C354035599","D03","JERC","JERC_006","J9","2014-05-20","MAM.JERC.2014.06",6,0
"CF2ABF3CC13E49969029F95FA0515416","D03","JERC","JERC_005","I6","2014-05-20","MAM.JERC.2014.06",1,0
"F6042AC20FBE40958616B50426AA270D","D03","JERC","JERC_005","I5","2014-05-20","MAM.JERC.2014.06",1,0
"92CF437D68AD4F538F547B1580FB026E","D03","JERC","JERC_006","J7","2014-05-20","MAM.JERC.2014.06",6,0
"BF3222B79698437589B4A973EB016393","D03","JERC","JERC_005","I4","2014-05-20","MAM.JERC.2014.06",1,0
"3E41070DAA5D40888D583229EDF5B661","D03","JERC","JERC_006","J8","2014-05-20","MAM.JERC.2014.06",6,0
"C41D89C509664FD8957197061BCDE61F","D03","JERC","JERC_005","I3","2014-05-20","MAM.JERC.2014.06",1,0
"2FE767F884274199BF4EC7B454B1BB2A","D03","JERC","JERC_006","J5","2014-05-20","MAM.JERC.2014.06",6,0
"556E4F0395B54063AB4604A4AA77C1F0","D03","JERC","JERC_005","I9","2014-05-20","MAM.JERC.2014.06",1,0
"08B772632AC44C5A975AB41F462FA33B","D03","JERC","JERC_006","J6","2014-05-20","MAM.JERC.2014.06",5,0
"0BD322B93B8B4E17B79DBD3190A88A51","D03","JERC","JERC_006","J3","2014-05-20","MAM.JERC.2014.06",6,0
"508942B5F4E74C659FDFD18E8CDEDFAD","D03","JERC","JERC_005","I8","2014-05-20","MAM.JERC.2014.06",1,0
"B13AE14F5A954EC4BE392494C168941F","D03","JERC","JERC_005","I7","2014-05-20","MAM.JERC.2014.06",1,0
"45403809B763456083142A9513C76242","D03","JERC","JERC_006","J4","2014-05-20","MAM.JERC.2014.06",6,0
"1595E14A41DD4FB792722FBB98C2EA3E","D03","JERC","JERC_006","J1","2014-05-20","MAM.JERC.2014.06",6,0
"A0A2F96DD89040ABA856F4298A6A2385","D03","JERC","JERC_006","J2","2014-05-20","MAM.JERC.2014.06",6,0
"2C2894E83143414599061F3CD3729A0C","D03","JERC","JERC_005","I2","2014-05-20","MAM.JERC.2014.06",1,0
"A53579CCBB3F4B72BF1A715D03EB9B62","D03","JERC","JERC_005","I1","2014-05-20","MAM.JERC.2014.06",1,0
"2811BAC6A7A240C8AB91A5D45ADA1DB1","D03","JERC","JERC_005","H3","2014-05-20","MAM.JERC.2014.06",1,0
"968E567C1BC94E369BA991B4490D4878","D03","JERC","JERC_005","H2","2014-05-20","MAM.JERC.2014.06",1,0
"46A6299D6C0A448EBBF03A9C5916A0B2","D03","JERC","JERC_005","H5","2014-05-20","MAM.JERC.2014.06",1,0
"4E980C1513C5418783A3BC95FD07F55F","D03","JERC","JERC_005","H4","2014-05-20","MAM.JERC.2014.06",1,0
"B99193CA9ECE46D692E9FC1F8BCEA1B5","D03","JERC","JERC_005","H7","2014-05-20","MAM.JERC.2014.06",1,0
"5518563D6D344B17B7A4780F5F286595","D03","JERC","JERC_005","H6","2014-05-20","MAM.JERC.2014.06",1,0
"C85C23A965494D478D2FA1BA58B4D9D3","D03","JERC","JERC_005","H9","2014-05-20","MAM.JERC.2014.06",1,0
"0A46FB6D1DF84AFB82509F87F9F40265","D03","JERC","JERC_005","H8","2014-05-20","MAM.JERC.2014.06",1,0
"A65EF26586D44608AB63DC34EB57CB66","D03","JERC","JERC_005","H1","2014-05-20","MAM.JERC.2014.06",1,0
"32CF1DE0E0C24042A6C3DF30433502CD","D03","JERC","JERC_006","H9","2014-05-20","MAM.JERC.2014.06",6,0
"02805016FDC24315967D6B550EC328BC","D03","JERC","JERC_005","G9","2014-05-20","MAM.JERC.2014.06",1,0
"B65AFEC8ECC64CE38785DF5BE9A29185","D03","JERC","JERC_006","H3","2014-05-20","MAM.JERC.2014.06",6,0
"12869BA9AB8D41939A2CA2E56F8DB0AE","D03","JERC","JERC_005","G8","2014-05-20","MAM.JERC.2014.06",1,0
"336CE6A9B2E343199EE77E254099AF83","D03","JERC","JERC_005","G7","2014-05-20","MAM.JERC.2014.06",1,0
"DB50FEA1E2974F26A343DA557B9A2E3B","D03","JERC","JERC_006","H4","2014-05-20","MAM.JERC.2014.06",6,0
"BFC819C34EC848788F30B222D3123623","D03","JERC","JERC_006","H1","2014-05-20","MAM.JERC.2014.06",6,0
"BAAEBB8A58124F7B82287317AB9AEAE1","D03","JERC","JERC_005","G6","2014-05-20","MAM.JERC.2014.06",1,0
"D79C728993F3463AA717B21C34E8075D","D03","JERC","JERC_006","H2","2014-05-20","MAM.JERC.2014.06",5,0
"FEC6E7F447BA4668AA785EED60485D0B","D03","JERC","JERC_005","G5","2014-05-20","MAM.JERC.2014.06",1,0
"FB934DEB6DD144D5A16E385CF770B65F","D03","JERC","JERC_006","H7","2014-05-20","MAM.JERC.2014.06",6,0
"06398E02A1FF426EB8D5BCF22B81E18B","D03","JERC","JERC_005","G4","2014-05-20","MAM.JERC.2014.06",1,0
"6E86098828C04B76B8B39FC2E798DD79","D03","JERC","JERC_005","G3","2014-05-20","MAM.JERC.2014.06",1,0
"82F6D01FB0DF4F62AFE11034FB8CC081","D03","JERC","JERC_006","H8","2014-05-20","MAM.JERC.2014.06",6,0
"966FC13586284CD1AA4C454E49383375","D03","JERC","JERC_005","G2","2014-05-20","MAM.JERC.2014.06",3,0
"CB36F5F71C5D434FA82EBDDBB1E9CF80","D03","JERC","JERC_006","H5","2014-05-20","MAM.JERC.2014.06",6,0
"9C1A9FA7BFA44F5583A46AE87F2465DF","D03","JERC","JERC_005","G1","2014-05-20","MAM.JERC.2014.06",1,0
"3D35A09C413C4BAB92CC8657114A2A05","D03","JERC","JERC_006","H6","2014-05-20","MAM.JERC.2014.06",6,0
"9A633D6C14AE4E7AB71246D0F020260E","D03","JERC","JERC_009","A10","2014-05-20","MAM.JERC.2014.06",6,0
"09A3BE6DE61645E3AD85173DD0560D28","D03","JERC","JERC_005","F8","2014-05-20","MAM.JERC.2014.06",1,0
"FE69329377DF4B2F8A4E57EA53179F2E","D03","JERC","JERC_005","F9","2014-05-20","MAM.JERC.2014.06",1,0
"DA807015A2C1493EB259ED01DC299840","D03","JERC","JERC_005","F5","2014-05-20","MAM.JERC.2014.06",1,0
"9C3B70AE83EE44899C22DEC6518613E0","D03","JERC","JERC_006","I2","2014-05-20","MAM.JERC.2014.06",6,0
"471904299CB44FF9A601C05AEE55AB1C","D03","JERC","JERC_005","F4","2014-05-20","MAM.JERC.2014.06",1,0
"FF6A3BAEBCF74213ABA232FDA024F4B4","D03","JERC","JERC_006","I3","2014-05-20","MAM.JERC.2014.06",6,0
"2BD52B2C462E4BCC8278CEE2AD6CFA5C","D03","JERC","JERC_006","I4","2014-05-20","MAM.JERC.2014.06",6,0
