"country","continent","year","lifeExp","pop","gdpPercap"
"Iran","Asia",1952,44.869,17272000,3035.326002
"Iran","Asia",1957,47.181,19792000,3290.257643
"Iran","Asia",1962,49.325,22874000,4187.329802
"Iran","Asia",1967,52.469,26538000,5906.731805
"Iran","Asia",1972,55.234,30614000,9613.818607
"Iran","Asia",1977,57.702,35480679,11888.59508
"Iran","Asia",1982,59.62,43072751,7608.334602
"Iran","Asia",1987,63.04,51889696,6642.881371
"Iran","Asia",1992,65.742,60397973,7235.653188
"Iran","Asia",1997,68.042,63327987,8263.590301
"Iran","Asia",2002,69.451,66907826,9240.761975
"Iran","Asia",2007,70.964,69453570,11605.71449
