"country","continent","year","lifeExp","pop","gdpPercap"
"Pakistan","Asia",1952,43.436,41346560,684.5971438
"Pakistan","Asia",1957,45.557,46679944,747.0835292
"Pakistan","Asia",1962,47.67,53100671,803.3427418
"Pakistan","Asia",1967,49.8,60641899,942.4082588
"Pakistan","Asia",1972,51.929,69325921,1049.938981
"Pakistan","Asia",1977,54.043,78152686,1175.921193
"Pakistan","Asia",1982,56.158,91462088,1443.429832
"Pakistan","Asia",1987,58.245,105186881,1704.686583
"Pakistan","Asia",1992,60.838,120065004,1971.829464
"Pakistan","Asia",1997,61.818,135564834,2049.350521
"Pakistan","Asia",2002,63.61,153403524,2092.712441
"Pakistan","Asia",2007,65.483,169270617,2605.94758
