"country","continent","year","lifeExp","pop","gdpPercap"
"New Zealand","Oceania",1952,69.39,1994794,10556.57566
"New Zealand","Oceania",1957,70.26,2229407,12247.39532
"New Zealand","Oceania",1962,71.24,2488550,13175.678
"New Zealand","Oceania",1967,71.52,2728150,14463.91893
"New Zealand","Oceania",1972,71.89,2929100,16046.03728
"New Zealand","Oceania",1977,72.22,3164900,16233.7177
"New Zealand","Oceania",1982,73.84,3210650,17632.4104
"New Zealand","Oceania",1987,74.32,3317166,19007.19129
"New Zealand","Oceania",1992,76.33,3437674,18363.32494
"New Zealand","Oceania",1997,77.55,3676187,21050.41377
"New Zealand","Oceania",2002,79.11,3908037,23189.80135
"New Zealand","Oceania",2007,80.204,4115771,25185.00911
