"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"57CD0238DFFE43DEAE2A27A6F1CBA408","D01","HARV","HARV_023","A2","evergreenForest",42.413287,-72.226636,"WGS84",,177.0,,"2014-04-29","MAM.HARV.2014.05","NEON.MAM.D01.0R0321","PELE","Peromyscus leucopus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","not","neither",20.0,12.0,75.0,,23.00,,"unsuccessful","HARV.20140429.R0321.F","fresh","HARV.20140429.R0321.E","HARV.20140429.R0321.H","HARV.20140429.R0321.H",,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","no blood collected, but animal did bleed from subzygomatic stick",0,0,0,-1,0
"D4301165D33F411486481361C0EF316E","D01","HARV","HARV_023","A7","evergreenForest",42.412837,-72.226655,"WGS84",,177.0,,"2014-04-29","MAM.HARV.2014.05","NEON.MAM.D01.421677","NAIN","Napaeozapus insignis","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",30.0,,,,18.00,"HARV.20140429.421677.B","mandibular","HARV.20140429.421677.F","fresh","HARV.20140429.421677.E",,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","Blood was collected by subzygomatic method. Recorder: pnoonan@field-ops.org, handler: cgoranson@neoninc.org",0,0,0,-1,0
"8CF8767A2C564AD9B1C2AF3389E18863","D01","HARV","HARV_023","C9","evergreenForest",42.412651,-72.226420,"WGS84",,176.9,,"2014-04-29","MAM.HARV.2014.05",,"PEMA","Peromyscus maniculatus","species","cf. species"," ","U","N","N","escaped",,"adult",,,"not",,,,,,,,,,,,,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I",,-1,-1,-1,-1,-1
"171AB18F346E41ED8625B942DE646A7D","D01","HARV","HARV_023","J7","evergreenForest",42.412811,-72.225563,"WGS84",,176.9,,"2014-04-29","MAM.HARV.2014.05","NEON.MAM.D01.0L0258","NAIN","Napaeozapus insignis","species",," ","M","N","Y",,,"adult","nonscrotal",,,,30.0,,,,27.00,,"unsuccessful",,,,,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","attempted mandibular bleed, but no blood was collected. Recorder: cgoranson@neoninc.org, Handler: ehardiman@field-ops.org",0,0,0,-1,0
"25C2B0786FC243CA822758D3C862A582","D01","HARV","HARV_006","C4","deciduousForest",42.402092,-72.255050,"WGS84",,177.5,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.421695","MYGA","Myodes gapperi","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",14.0,,,,26.00,,,"HARV.20140430.421695.F","old","HARV.20140430.421695.E",,,,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","Recorder: kauger@field-ops.org, handler: pnoonan@field-ops.org",0,0,0,-1,0
"6592B2679EEB4C22976D169C0BBC5EB8","D01","HARV","HARV_023","G10","evergreenForest",42.412550,-72.225939,"WGS84",,176.9,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0R0276","PELE","Peromyscus leucopus","species","cf. species"," ","M","R","Y",,"L","adult","scrotal",,,,22.0,12.0,83.0,,27.00,"HARV.20140430.R0276.B","mandibular","HARV.20140430.R0276.F","fresh","HARV.20140430.R0276.E","HARV.20140430.R0276.H","HARV.20140430.R0276.H",,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","recorder: Kauger@field-ops.org, handler: bchagnon@field-ops.org; blood collected by subzygomatic stick.",0,0,0,-1,0
"51E32CBC304744B8A07AFEC123417381","D01","HARV","HARV_023","F9","evergreenForest",42.412643,-72.226056,"WGS84",,176.9,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0R0303","PELE","Peromyscus leucopus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,21.0,14.0,82.0,,29.00,,"unsuccessful","HARV.20140430.R0303.F","fresh","HARV.20140430.R0303.E","HARV.20140430.R0303.H","HARV.20140430.R0303.H",,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","no blood drawn; subzygomatic method attempted",0,0,0,-1,0
"A28E1478D20F40B6B54AC1EFF06FAF4E","D01","HARV","HARV_023","H9","evergreenForest",42.412637,-72.225814,"WGS84",,176.9,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0R0041","PELE","Peromyscus leucopus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","pregnant","swollen",20.0,12.0,90.0,,36.00,,"unsuccessful","HARV.20140430.R0041.F","fresh","HARV.20140430.R0041.E","HARV.20140430.R0041.H","HARV.20140430.R0041.H",,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","recorder: bchagnon@field-ops.com, handler: kauger@field-ops.org; mouse was in progress of giving birth, subzygomatic stick- animal bled, but no blood collected.",0,0,0,-1,0
"1F9408A2281A4F4E9AA7727DB448AA35","D01","HARV","HARV_023","I10","evergreenForest",42.412544,-72.225696,"WGS84",,176.9,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0L0258","NAIN","Napaeozapus insignis","species",," ","M","N","Y",,,"adult","nonscrotal",,,,30.0,,,,25.00,,,"HARV.20140430.L0258.F","fresh",,,,,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","Recorder: cgoranson@neoninc.org, handler: ehardiman@field-ops.org",0,0,0,-1,0
"0245042582214AFF88D1A5B6D9A77FA0","D01","HARV","HARV_006","J10","deciduousForest",42.401532,-72.254224,"WGS84",,177.8,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.006J10","BLBR","Blarina brevicauda","species",," ",,"N","N","dead",,,,,"not",,,,,,,,,,,,,,"HARV.20140430.006J10.V","CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,0,0,0,-1,0
