"country","continent","year","lifeExp","pop","gdpPercap"
"Hungary","Europe",1952,64.03,9504000,5263.673816
"Hungary","Europe",1957,66.41,9839000,6040.180011
"Hungary","Europe",1962,67.96,10063000,7550.359877
"Hungary","Europe",1967,69.5,10223422,9326.64467
"Hungary","Europe",1972,69.76,10394091,10168.65611
"Hungary","Europe",1977,69.95,10637171,11674.83737
"Hungary","Europe",1982,69.39,10705535,12545.99066
"Hungary","Europe",1987,69.58,10612740,12986.47998
"Hungary","Europe",1992,69.17,10348684,10535.62855
"Hungary","Europe",1997,71.04,10244684,11712.7768
"Hungary","Europe",2002,72.59,10083313,14843.93556
"Hungary","Europe",2007,73.338,9956108,18008.94444
