"country","continent","year","lifeExp","pop","gdpPercap"
"Tunisia","Africa",1952,44.6,3647735,1468.475631
"Tunisia","Africa",1957,47.1,3950849,1395.232468
"Tunisia","Africa",1962,49.579,4286552,1660.30321
"Tunisia","Africa",1967,52.053,4786986,1932.360167
"Tunisia","Africa",1972,55.602,5303507,2753.285994
"Tunisia","Africa",1977,59.837,6005061,3120.876811
"Tunisia","Africa",1982,64.048,6734098,3560.233174
"Tunisia","Africa",1987,66.894,7724976,3810.419296
"Tunisia","Africa",1992,70.001,8523077,4332.720164
"Tunisia","Africa",1997,71.973,9231669,4876.798614
"Tunisia","Africa",2002,73.042,9770575,5722.895655
"Tunisia","Africa",2007,73.923,10276158,7092.923025
