"country","continent","year","lifeExp","pop","gdpPercap"
"Gambia","Africa",1952,30,284320,485.2306591
"Gambia","Africa",1957,32.065,323150,520.9267111
"Gambia","Africa",1962,33.896,374020,599.650276
"Gambia","Africa",1967,35.857,439593,734.7829124
"Gambia","Africa",1972,38.308,517101,756.0868363
"Gambia","Africa",1977,41.842,608274,884.7552507
"Gambia","Africa",1982,45.58,715523,835.8096108
"Gambia","Africa",1987,49.265,848406,611.6588611
"Gambia","Africa",1992,52.644,1025384,665.6244126
"Gambia","Africa",1997,55.861,1235767,653.7301704
"Gambia","Africa",2002,58.041,1457766,660.5855997
"Gambia","Africa",2007,59.448,1688359,752.7497265
