"country","continent","year","lifeExp","pop","gdpPercap"
"Iceland","Europe",1952,72.49,147962,7267.688428
"Iceland","Europe",1957,73.47,165110,9244.001412
"Iceland","Europe",1962,73.68,182053,10350.15906
"Iceland","Europe",1967,73.73,198676,13319.89568
"Iceland","Europe",1972,74.46,209275,15798.06362
"Iceland","Europe",1977,76.11,221823,19654.96247
"Iceland","Europe",1982,76.99,233997,23269.6075
"Iceland","Europe",1987,77.23,244676,26923.20628
"Iceland","Europe",1992,78.77,259012,25144.39201
"Iceland","Europe",1997,78.95,271192,28061.09966
"Iceland","Europe",2002,80.5,288030,31163.20196
"Iceland","Europe",2007,81.757,301931,36180.78919
