"country","continent","year","lifeExp","pop","gdpPercap"
"Albania","Europe",1952,55.23,1282697,1601.056136
"Albania","Europe",1957,59.28,1476505,1942.284244
"Albania","Europe",1962,64.82,1728137,2312.888958
"Albania","Europe",1967,66.22,1984060,2760.196931
"Albania","Europe",1972,67.69,2263554,3313.422188
"Albania","Europe",1977,68.93,2509048,3533.00391
"Albania","Europe",1982,70.42,2780097,3630.880722
"Albania","Europe",1987,72,3075321,3738.932735
"Albania","Europe",1992,71.581,3326498,2497.437901
"Albania","Europe",1997,72.95,3428038,3193.054604
"Albania","Europe",2002,75.651,3508512,4604.211737
"Albania","Europe",2007,76.423,3600523,5937.029526
