"country","continent","year","lifeExp","pop","gdpPercap"
"Djibouti","Africa",1952,34.812,63149,2669.529475
"Djibouti","Africa",1957,37.328,71851,2864.969076
"Djibouti","Africa",1962,39.693,89898,3020.989263
"Djibouti","Africa",1967,42.074,127617,3020.050513
"Djibouti","Africa",1972,44.366,178848,3694.212352
"Djibouti","Africa",1977,46.519,228694,3081.761022
"Djibouti","Africa",1982,48.812,305991,2879.468067
"Djibouti","Africa",1987,50.04,311025,2880.102568
"Djibouti","Africa",1992,51.604,384156,2377.156192
"Djibouti","Africa",1997,53.157,417908,1895.016984
"Djibouti","Africa",2002,53.373,447416,1908.260867
"Djibouti","Africa",2007,54.791,496374,2082.481567
