"country","continent","year","lifeExp","pop","gdpPercap"
"Botswana","Africa",1952,47.622,442308,851.2411407
"Botswana","Africa",1957,49.618,474639,918.2325349
"Botswana","Africa",1962,51.52,512764,983.6539764
"Botswana","Africa",1967,53.298,553541,1214.709294
"Botswana","Africa",1972,56.024,619351,2263.611114
"Botswana","Africa",1977,59.319,781472,3214.857818
"Botswana","Africa",1982,61.484,970347,4551.14215
"Botswana","Africa",1987,63.622,1151184,6205.88385
"Botswana","Africa",1992,62.745,1342614,7954.111645
"Botswana","Africa",1997,52.556,1536536,8647.142313
"Botswana","Africa",2002,46.634,1630347,11003.60508
"Botswana","Africa",2007,50.728,1639131,12569.85177
