"country","continent","year","lifeExp","pop","gdpPercap"
"Italy","Europe",1952,65.94,47666000,4931.404155
"Italy","Europe",1957,67.81,49182000,6248.656232
"Italy","Europe",1962,69.24,50843200,8243.58234
"Italy","Europe",1967,71.06,52667100,10022.40131
"Italy","Europe",1972,72.19,54365564,12269.27378
"Italy","Europe",1977,73.48,56059245,14255.98475
"Italy","Europe",1982,74.98,56535636,16537.4835
"Italy","Europe",1987,76.42,56729703,19207.23482
"Italy","Europe",1992,77.44,56840847,22013.64486
"Italy","Europe",1997,78.82,57479469,24675.02446
"Italy","Europe",2002,80.24,57926999,27968.09817
"Italy","Europe",2007,80.546,58147733,28569.7197
