"country","continent","year","lifeExp","pop","gdpPercap"
"Nicaragua","Americas",1952,42.314,1165790,3112.363948
"Nicaragua","Americas",1957,45.432,1358828,3457.415947
"Nicaragua","Americas",1962,48.632,1590597,3634.364406
"Nicaragua","Americas",1967,51.884,1865490,4643.393534
"Nicaragua","Americas",1972,55.151,2182908,4688.593267
"Nicaragua","Americas",1977,57.47,2554598,5486.371089
"Nicaragua","Americas",1982,59.298,2979423,3470.338156
"Nicaragua","Americas",1987,62.008,3344353,2955.984375
"Nicaragua","Americas",1992,65.843,4017939,2170.151724
"Nicaragua","Americas",1997,68.426,4609572,2253.023004
"Nicaragua","Americas",2002,70.836,5146848,2474.548819
"Nicaragua","Americas",2007,72.899,5675356,2749.320965
